Word,Frequency,Web Page
eylül,5948.0,2091
üniversitesi,5922.0,2082
öğrenci,5197.0,1179
ders,4908.0,984
erasmus,4798.0,1022
akademik,4377.0,1256
eğitim,3875.0,1169
yönetim,3798.0,1459
deu,3719.0,2007
mevlana,3530.0,754
farabi,3360.0,654
fakültesi,3358.0,830
araştırma,3300.0,1408
programı,3243.0,1093
iletişim,3217.0,1898
öğretim,3021.0,854
personel,2999.0,1385
lisans,2918.0,732
deü,2816.0,1506
bilim,2721.0,436
bilimleri,2715.0,544
bilgi,2679.0,1353
bölümü,2411.0,487
destek,2359.0,807
ana,2291.0,442
kurulu,2279.0,1153
dalı,2215.0,185
uzaktan,2102.0,641
izmir,2101.0,1365
geç,2048.0,2014
yüksek,2041.0,733
seçmelý,2031.0,68
menüye,2012.0,2012
tarihi,1990.0,1024
fen,1967.0,381
matematik,1929.0,261
proje,1875.0,426
hakkında,1864.0,780
program,1819.0,599
kimya,1800.0,232
başvuru,1748.0,647
uluslararası,1727.0,833
anasayfa,1689.0,1511
merkezi,1669.0,961
programları,1648.0,797
uygulama,1647.0,991
koordinatörlüğü,1627.0,654
debis,1615.0,1370
seãmelä,1570.0,15
fakülte,1554.0,501
idari,1534.0,938
genel,1523.0,591
türkiye,1517.0,820
bilgisayar,1500.0,268
projeler,1480.0,487
takvim,1449.0,1046
doktora,1435.0,614
fizik,1415.0,265
zorunlu,1403.0,136
spor,1369.0,222
istatistik,1352.0,261
devamı,1346.0,139
kalite,1289.0,346
hakkımızda,1275.0,1104
özel,1256.0,745
hareketliliği,1238.0,200
bölüm,1215.0,431
bilimsel,1214.0,529
kayıt,1210.0,564
yılı,1175.0,455
telefon,1170.0,1005
faculty,1154.0,136
sosyal,1148.0,566
işleri,1145.0,461
ilişkiler,1106.0,474
sınav,1102.0,629
dönem,1094.0,191
education,1091.0,227
lisansüstü,1089.0,460
enstitüsü,1083.0,387
student,1079.0,228
tez,1073.0,310
anabilim,1047.0,352
staj,1034.0,454
öğrenciler,1028.0,501
university,1026.0,241
prof,1004.0,280
servisi,982.0,77
biyoloji,968.0,202
school,960.0,145
tanıtım,958.0,712
buca,950.0,712
akts,945.0,110
mali,943.0,308
formu,936.0,491
birimi,934.0,492
eğitimi,933.0,290
formlar,932.0,596
değişim,921.0,480
dış,902.0,525
academic,898.0,226
bahar,895.0,409
mevzuat,890.0,635
adres,889.0,741
mezun,884.0,706
tınaztepe,848.0,634
derece,828.0,269
duyurular,827.0,642
üyesi,821.0,321
değerlendirme,814.0,278
ulusal,812.0,490
tübitak,805.0,426
dönemi,803.0,342
yükseköğretim,802.0,358
başkanlığı,799.0,427
online,799.0,544
toplam,797.0,183
duyurulari,796.0,196
fax,791.0,590
international,791.0,216
anlaşmalari,790.0,190
sistemi,780.0,434
yer,779.0,326
yönelik,775.0,410
sorulan,773.0,436
sorular,771.0,436
linkler,769.0,376
sıkça,769.0,436
font,763.0,304
kabul,763.0,290
rehberi,747.0,520
kütüphane,742.0,516
fakültemiz,741.0,463
yönetimi,738.0,426
eposta,734.0,451
deuzem,732.0,664
dil,730.0,358
yerleşkesi,724.0,568
programlarý,720.0,72
planlama,718.0,557
web,717.0,513
temel,716.0,447
güncel,702.0,464
ilişkin,701.0,399
vizyon,700.0,659
application,698.0,124
takvimi,696.0,506
students,682.0,152
dersler,675.0,257
bölümler,673.0,506
sciences,670.0,54
tarihçe,670.0,653
misyon,669.0,633
birimler,669.0,529
müdürlüğü,666.0,256
sss,665.0,252
belgesi,663.0,420
eðitim,652.0,71
faydali,650.0,259
ulaşım,644.0,431
department,641.0,54
engelsiz,640.0,589
stratejik,636.0,387
yayınlanma,632.0,632
kapsamında,631.0,316
komisyonlar,629.0,610
sağlık,627.0,324
son,625.0,415
tercih,617.0,469
işlemleri,616.0,244
teknik,613.0,322
bütçe,612.0,124
mat,609.0,25
değiştir,608.0,306
bilgileri,605.0,434
kadın,602.0,149
tanitimi,602.0,204
koordinatörleri,601.0,200
notu,599.0,101
hizmet,598.0,375
staff,596.0,190
gör,595.0,104
kariyer,595.0,465
projeleri,594.0,159
bilimler,593.0,165
tıklayınız,592.0,299
çevre,591.0,166
sunumlar,590.0,198
diploma,572.0,449
cumhuriyet,559.0,514
kurum,557.0,431
yeni,556.0,274
kodu,556.0,105
öðretim,554.0,71
etkinlikler,548.0,354
giden,539.0,197
türk,532.0,233
profdr,531.0,133
destekleri,530.0,210
belgeler,526.0,457
doç,526.0,159
kapat,522.0,296
facebook,522.0,510
seçmeli,519.0,84
amaç,519.0,385
deðerlendirme,517.0,72
işbirliği,513.0,332
alsancak,512.0,481
birim,510.0,288
research,508.0,177
graduate,499.0,62
çağrılar,496.0,201
tarih,495.0,213
komisyonu,493.0,237
sayfa,492.0,307
araştırmaları,492.0,190
üyeleri,491.0,428
alan,488.0,272
kapanan,487.0,207
bilgilendiriyor,484.0,159
hizmetleri,484.0,269
arşivi,484.0,333
hemşirelik,484.0,134
form,479.0,323
fsh,474.0,14
üzerinden,471.0,245
seferleri,469.0,157
atatürk,469.0,198
hizmetler,469.0,248
kontrol,469.0,142
gelen,468.0,335
yönetmelik,468.0,326
aday,464.0,362
kamu,463.0,319
içerikleri,463.0,289
programme,462.0,98
mart,459.0,163
akademisyen,458.0,222
dekaum,457.0,118
daire,457.0,337
bilgiler,449.0,310
sıfırla,448.0,226
meslek,445.0,276
üniversite,443.0,254
geri,440.0,317
yetenek,437.0,255
şube,435.0,100
veteriner,434.0,106
öğr,430.0,113
yök,429.0,306
ilk,427.0,257
bildirim,426.0,308
degree,426.0,125
önemli,425.0,318
türü,425.0,110
yönetmelikler,424.0,406
exchange,420.0,104
contact,419.0,244
kayýt,419.0,74
muhasebe,417.0,254
temmuz,417.0,241
yönetmeliği,416.0,354
yurt,414.0,179
enstitü,410.0,146
sakai,410.0,226
uluslararasi,410.0,296
mezuniyet,409.0,197
müfredat,409.0,104
deyos,408.0,58
raporu,407.0,236
koþullarý,405.0,72
kalem,404.0,384
devam,403.0,307
güz,403.0,249
strateji,401.0,356
evrak,400.0,369
günü,400.0,197
çalışma,399.0,282
tel,398.0,255
belge,396.0,204
turkish,396.0,113
email,395.0,318
fakãlte,394.0,8
avrupa,394.0,136
öğrenim,393.0,129
öğrencilerimizin,393.0,203
bulvarı,393.0,385
close,392.0,308
danışmanlık,390.0,238
gerekmektedir,388.0,223
sahip,387.0,209
kapısı,386.0,229
sanayi,386.0,252
covid,383.0,148
sanal,382.0,369
kalkınma,382.0,254
arge,381.0,172
galeri,380.0,373
toplum,379.0,323
dersi,379.0,207
dünya,377.0,238
edilen,371.0,190
programlari,370.0,97
programýn,369.0,70
çağdaş,369.0,147
raporları,368.0,143
mobility,368.0,89
desteği,367.0,269
kurumsal,367.0,212
gerekli,365.0,221
kontrast,365.0,304
risk,364.0,328
veren,363.0,199
projesi,363.0,219
adý,362.0,72
turkey,360.0,196
saat,359.0,189
kayıtlar,358.0,200
yarıyılı,356.0,180
öyp,356.0,40
esaslar,353.0,198
sorgulama,353.0,349
biyokimya,351.0,292
programi,351.0,180
arasında,351.0,216
binası,350.0,333
ilkeleri,350.0,169
yılında,349.0,198
hesaplama,346.0,325
hepkon,344.0,168
science,342.0,79
ara,342.0,173
anketi,339.0,288
seminerler,339.0,321
baþarýlý,333.0,67
hayvan,332.0,98
yabancý,331.0,70
teknolojisi,330.0,135
destekleme,329.0,234
yarýyýl,326.0,61
necat,325.0,155
dãnem,325.0,15
planı,325.0,222
şeması,324.0,310
klinik,324.0,124
exam,322.0,74
home,321.0,256
faaliyet,321.0,227
history,320.0,178
imyo,320.0,153
öğrencilerimiz,319.0,236
yayınlar,319.0,298
yabancı,316.0,141
dergisi,314.0,160
kesin,314.0,82
hesap,313.0,157
komisyonları,312.0,54
takip,311.0,191
sonra,311.0,187
altını,310.0,306
linkleri,310.0,305
programs,310.0,162
information,310.0,130
işlem,309.0,260
boyutunu,308.0,306
haziran,308.0,188
dernekler,308.0,283
dalları,307.0,239
kodları,306.0,235
ödülleri,305.0,222
yüksekokulu,305.0,194
yarışması,304.0,176
belirginleştir,303.0,303
çiz,303.0,303
işıkları,303.0,303
yıl,303.0,152
linklerin,303.0,303
navi,303.0,303
kataloğu,302.0,259
üniversitemiz,302.0,175
bağlantılar,301.0,288
kitabı,301.0,260
yili,301.0,142
derecesi,300.0,96
geliştirme,300.0,194
grubu,300.0,95
sayılı,299.0,122
araş,299.0,50
izleme,299.0,124
öğrencileri,297.0,194
mayıs,297.0,145
puan,295.0,86
performans,295.0,150
duyurusu,293.0,113
ajansı,293.0,218
yönergeler,292.0,222
formları,292.0,198
inkılap,292.0,147
seminer,291.0,107
dili,290.0,121
bucaizmir,290.0,284
sayı,290.0,114
health,290.0,113
faaliyetler,290.0,271
çağrı,289.0,86
yatay,289.0,149
işler,289.0,195
görevlisi,289.0,99
yönergesi,289.0,220
teknoloji,288.0,149
içi,288.0,164
tezsiz,287.0,174
eğitimöğretim,287.0,164
eylul,285.0,204
iso,285.0,29
sağlığı,284.0,169
dilekçe,284.0,233
uygun,284.0,193
ebe,284.0,52
programý,283.0,68
çağrısı,283.0,93
öðrenci,282.0,74
kanun,281.0,235
elektronik,280.0,206
